speaker	utt	act	act	slots	
assistant	There will be no humid days over the next 7 days.	inform #goal humid #date next 7 days	inform #goal humid #date next 7 days	{"weather_attribute": "Humid ", "date": "Next seven days", "location": "Redwood City"}	#weather #date #location #high #low #temperature
driver	Is it gonna snow during the next week in Atherton?	yn_request #goal snow #date next week #location Atherton	yn_request #goal snow #date next week #location Atherton		
assistant	Today's highest temperature in New York is predicted to be 50F	inform #location New York #highest #temperature 50F	inform #goal ? 50F #location New York 	{"weather_attribute": "highest temperature", "date": "right now", "location": "New York"}	
assistant	You're welcome.	youre_welcome	youre_welcome	{}	
assistant	What location do you want the weather for?	request #locaton 	request #locaton 	{"weather_attribute": "snow", "date": "next week"}	
assistant	What city are you wanting to know if it's going to snow?	request #location #goal snow	request #location #goal snow	{"weather_attribute": "snow", "date": "this week "}	
driver	Thank you!	thank_you	thank_you		
assistant	Anytime.	youre_welcome	youre_welcome	{}	
driver	San Mateo please.	inform #location San Mateo	inform #location San Mateo		
driver	Thanks for the information.	thank_you	thank_you		
driver	Thanks!	thank_you	thank_you		
driver	how warm is it outside right now	request #temperature warm #time now	request #goal warm #time now		
driver	Great, thanks	thank_you	thank_you		
driver	give me the weather for next week	request #goal #date next week	request #goal #date next week		
driver	Will it be cloudy in Los Angeles on Thursday?	request #goal cloudy #location Los Angeles #date Thursday	request #goal cloudy #location Los Angeles #date Thursday		
assistant	You're welcome.	youre_welcome	youre_welcome	{"weather_attribute": "rain", "date": "today and tomorrow", "location": "Alameda "}	
assistant	Which city would you like today and tomorrow's forecast for?	request #location #goal #date today and tomorrow	request #location #goal #date today and tomorrow	{"weather_attribute": "forecast", "date": "today and tomorrow"}	
driver	what is the forecast for the city this week	request #date this week #goal	request #date this week #goal		
assistant	You're welcome, have a great day.	youre_welcome	youre_welcome	{}	
assistant	Which city are you asking about?	request #location	request #location	{"location": "the city"}	
assistant	What city are you wanting to know if it's going to rain?	request #location #goal rain	request #location #goal rain	{"weather_attribute": "rain", "date": "this week"}	
driver	get me the weather forecast for the next 7 days	request #goal #date next 7 days	request #goal #date next 7 days		
assistant	It will not be humid in New York anytime soon.	inform #goal humid #location New York #date anytime soon	inform #goal humid #location New York #date anytime soon	{"location": "New York"}	
assistant	What city would you like to know if it will be snowing in?	request #location #goal snow	request #location #goal snow	{"weather_attribute": "snowing", "date": "next week"}	
assistant	What location are you asking about?	request #location	request #location	{"date": "upcoming week"}	
assistant	No problem, I'm here for you!	youre_welcome	youre_welcome	{}	
driver	Thanks.	thank_you	thank_you		
assistant	It will not be hot in Alhambra next week.	inform #location Alhambra #goal not hot #date next week	inform #location Alhambra #goal not hot #date next week	{"date": "next week", "weather_attribute": "hot ", "location": "Alhambra"}	
driver	What about the next 2 days?	request #date next 2 days	request #date next 2 days		
assistant	It is forecast to rain Friday and Sunday in Menlo Park.	inform #goal rain #date Friday and Sunday #location Menlo Park	inform #goal rain #date Friday and Sunday #location Menlo Park	{"date": "this week", "weather_attribute": "rain", "location": "Menlo Park"}	
assistant	Not a problem.	youre_welcome	youre_welcome	{}	
driver	what is the weather next week	request #goal #date next week	request #goal #date next week		
assistant	No problem!	youre_welcome	youre_welcome	{}	
assistant	What city are you inquiring about?	request #location	request #location	{"weather_attribute": "rain ", "date": "this week"}	
assistant	No problem.	youre_welcome	youre_welcome	{}	
assistant	What city would you like the weekly weather report for?	request #location #goal #date weekly	request #location #goal #date weekly	{"date": "weekly"}	
assistant	You are welcome.	youre_welcome	youre_welcome	{}	
assistant	It will be stormy in Grand Rapids on Wednesday.	inform #goal stormy #location Grand Rapids #date Wednesday	inform #goal stormy #location Grand Rapids #date Wednesday	{"weather_attribute": "humid ", "date": "Wednesday", "location": "Grand Rapids"}	
driver	what is the temperature	request #temperature	request #goal		
driver	what is the local weather forecast for this week	request #goal #location local #date this week	request #goal #location local #date this week		
assistant	What city do you want the weather for?	request #location #goal	request #location #goal	{"weather_attribute": "temperature", "date": "this week"}	
driver	what is the weather like in new york city	request #goal #location new york city	request #goal #location new york city		
driver	check today's weather	request #goal #date today	request #goal #date today		
driver	San Jose.	inform #location San Jose	inform #location San Jose		
driver	Will it be cloudy today?	yn_request #goal cloudy #date today	yn_request #goal cloudy #date today		
driver	Great!	accept	accept		
driver	Next week in San Mateo will there be any frost?	yn_request #goal forst #location San Mateo #date Next week	yn_request #goal forst #location San Mateo #date Next week		
assistant	You're welcome. Have a good day.	youre_welcome	youre_welcome	{}	
