speaker	utt	act	act	slots	poi
assistant	Setting GPS to Safeway at 452 Arcadia Pl.	request #goal #poi Safeway #location 452 Arcadia PI	request #goal #event Safeway #location 452 Arcadia PI	{"distance": "quickest"}	poi_type
driver	What are the directions for the nearest shopping center without traffic?	request #goal #distance nearest #poi shopping center #traffic no	request #goal #distance nearest #event shopping center #traffic no		distance
assistant	We are 3 miles away from Stanford Childrens Health: set the GPS to go there?	inform #distance 3 miles #poi Stanford Children Health ; exp_confirm #goal	inform #distance 3 miles #event Stanford Children Health ; exp_confirm #goal	{"distance": "nearest", "poi_type": "hospital"}	location
driver	That is fine, what is the address?	accept ; request #location	accept ; request #location		traffic
driver	Yes show me the address.	requst #location	requst #location		
assistant	No, just Sigona Farmers Market.	reject ; inform #poi Sigona Farmers Market	reject ; inform #event Sigona Farmers Market	{"poi": "Whole Foods"}	
assistant	Trader Joes is located at 408 University Avenue which is 2 miles away.	inform #goal #poi Trader Joes #location 408 University Avenue #distance 2 miles	inform #goal #event Trader Joes #location 408 University Avenue #distance 2 miles	{}	
assistant	You're welcome, drive carefully.	youre_welcome	youre_welcome	{}	
assistant	The fastest route is 4 miles away with no traffic noted and sent to you navigation.	inform #distance 4 miles #traffic no	inform #distance 4 miles #traffic no	{"distance": "fastest"}	
driver	Yes, please, pick a route to avoid all heavy traffic	accept ; request #goal #traffic avoid heavy 	accept ; request #goal #traffic avoid heavy 		#poi #address #poi_type #distance #traffic
assistant	Ravenswood Shopping Center is located at 434 Arastraero Road.	inform #poi Ravenswood Shopping Center #location 434 Arastraero Road	inform #event Ravenswood Shopping Center #location 434 Arastraero Road	{}	request yn_request accept reject inform exp_confirm imp_confirm offer thank_you youre_welcome ack
driver	Get me the address to a hospital that is no more than 2 miles away.	request #location #poi hospital #distance no more than 2 miles	request #location #event hospital #distance no more than 2 miles		#need #goal #cnt #choice 
driver	No, thanks, I remember it, just avoid all heavy traffic and show me the route on screen	reject ; request #goal #traffic avoid heavy traffic ; show 	reject ; request #goal #traffic avoid heavy traffic ; show 		
assistant	452 Arcadia Pl, I highlighted it on your map	inform #location 452 Arcadia PI ; show	inform #location 452 Arcadia PI ; show	{}	
assistant	That is the only one.	inform #count one	inform #count one	{}	
assistant	They are one shopping center 2 miles away called Midtown Shopping Center.	inform #poi shopping center #distance 2 miles #poi Midtown Shopping Center	inform #event shopping center #distance 2 miles #event Midtown Shopping Center	{"poi": "Shopping centers"}	
driver	Give me the address.	request #location	request #location		
driver	i'd love to go shopping are there any malls nearby	yn_request #poi mall #distance near by	yn_request #event mall #distance near by		
driver	Where is there Chinese food?	request #poi Chinese food	request #event Chinese food		
assistant	I have found a route to The Westin, located at 329 El Camino Real. It is 5 miles away through heavy traffic	inform #goal #poi Westin #location 329 EI Camino Real #distance 5 miles #traffic heavy traffic	inform #goal #event Westin #location 329 EI Camino Real #distance 5 miles #traffic heavy traffic	{"traffic_info": "fastest", "poi_type": "rest stop"}	
assistant	Pizza My Heart is at 528 Anton Ct, directions are on the screen.	#poi Piazza My Heart #location 528 Anton Ct ; show	#event Piazza My Heart #location 528 Anton Ct ; show	{}	
assistant	You're welcome, I set the navigation.	youre_welcome ; confirm #goal	youre_welcome ; confirm #goal	{}	
assistant	You're welcome!	youre_welcome	youre_welcome	{"distance": "quickest route"}	
assistant	Quickest route for Pizza My Heart being programmed.	request #goal #poi Pizza My Heart 	request #goal #event Pizza My Heart 	{"distance": "quickest"}	
assistant	All the directions are on your screen, drive carefully!	inform #goal ; show	inform #goal ; show	{"distance": "shortest distance", "poi": "jing jing"}	
driver	i need directions to a grocery store	request #goal #poi grocery store	request #goal #event grocery store		
assistant	The both have no traffic.	inform #traffic less traffic	inform #traffic less traffic	{"traffic_info": "less traffic"}	
driver	Thanks a bunch.	thank_you	thank_you		
driver	Where does my friend live?	request #location friend	request #location friend		
driver	find me a hotel somewhere near my current location	request #poi hotel #distance near current location	request #event hotel #distance near current location		
assistant	the nearest chinese restaurant is 1 mile away	inform #poi chinese restaurant #distance 1 mile	inform #event chinese restaurant #distance 1 mile	{"distance": "nearest", "poi": "chinese restaurant"}	
driver	tell me the closest place to get a cup of hot tea	request #distance closest place #poi tea	request #distance closest place #event tea		
assistant	Setting navigation, we should arrive shortly.	request #goal	request #goal	{}	
driver	Please give me the address and directions via a route with no traffic to the nearest pizza restaurant.	request #location ##goals #traffic no traffic #distance nearest #poi pizza restaurant	request #location ##goals #traffic no traffic #distance nearest #event pizza restaurant		
assistant	No problem, I'm here to assist you!	youre_welcome	youre_welcome	{}	
driver	Is that the closest one to me? If so send me the address.	yn_request #distance closest ; request #location	yn_request #distance closest ; request #location		
driver	That is ok, thank you.	thank_you	thank_you		
driver	Yes, please give me directions via a quick route.	accept ; request #goal #distance quick	accept ; request #goal #distance quick		
driver	Are you able to provide me with the fastest route and no traffic on it?	request #goal #distance fastest #traffic no traffic	request #goal #distance fastest #traffic no traffic		
assistant	the nearest grocery store is safeway	request #distance nearest #poi grocery store	request #distance nearest #event grocery store	{"distance": "nearest", "poi": "grocery store"}	
driver	Thank you car!	thank_you	thank_you		
driver	Fantastic, let's go there then!	agree	agree		
assistant	Cafe Venetia is located at 269 Alger Drive.	inform #poi Cafe Venetia #location 269 Alger Drive	inform #event Cafe Venetia #location 269 Alger Drive	{}	
driver	I need the quickest route to the hospital.	request #goal #distance quickest #poi hopstial	request #goal #distance quickest #event hopstial		
driver	Please show me a quick route to come back home, thank you	request #goal #poi home	request #goal #event home		
assistant	Coupa is 7 miles away from here in moderate traffic. The address is 394 Van Ness Ave	inform #poi Coupa #distance 7 miles #traffic moderate ; inform #location 394 Van Ness Ave	inform #event Coupa #distance 7 miles #traffic moderate ; inform #location 394 Van Ness Ave	{"distance": "around me", "traffic_info": "fastest route", "poi_type": "coffee or tea place"}	
assistant	Both Jill and Tom's homes are 6 miles away. But tom's home located at 580 Van Ness Ave has a route with out any traffic, while the route to Jill's home has heavy traffic.	inform #poi Jill and Tom's homes #distance 6 miles ; inform #location 580 van Ness Ave #traffic no traffic ; inform #traffic heavy traffic	inform #event Jill and Tom's homes #distance 6 miles ; inform #location 580 van Ness Ave #traffic no traffic ; inform #traffic heavy traffic	{"distance": "closest", "address": "Jill"}	
driver	Where can I get coffee?	request #poi coffee	request #event coffee		
driver	Where can I find a parking garage?	request #poi parking garage	request #event parking garage		
assistant	There are the Four Seasons hotel 2 miles away, and The Westin 5 miles from here. Which one do you prefer?	inform #poi Four Seasons hotel #distance 2 miles ; inform #poi Westin #distance 5 miles ; request choice	inform #event Four Seasons hotel #distance 2 miles ; inform #event Westin #distance 5 miles ; request choice	{"poi_type": "a place to sleep"}	
driver	What is the address?	request #location	request #location		
driver	Please give me the address and load directions. Thank you.	request #location ##goal ; thank_you	request #location ##goal ; thank_you		
assistant	There is Philz, Teavana, and Cafe Venetia.	inform #poi Philz, Teavana and Cafe Venetia	inform #event Philz, Teavana and Cafe Venetia	{"poi_type": "tea"}	
driver	Yes, please, just select the fastest route	agree ; request #goal #distance fastest	agree ; request #goal #distance fastest		
assistant	Then let's go at Philz, it's the nearest one and there is no traffic on our way	request #poi Philz #distance #nearest #traffic no traffic	request #event Philz #distance #nearest #traffic no traffic	{"distance": "quickest route"}	
driver	No, I would like to avoid any heavy traffic please.	reject ; request #traffic avoid heavy traffic	reject ; request #traffic avoid heavy traffic		
driver	pull up directions to 5672 barringer street	request #goal #location 5672 barringer street	request #goal #location 5672 barringer street		
assistant	I have a Shell gas station 1 mile away.	inform #poi Shell gas station #distance 1 mile away	inform #event Shell gas station #distance 1 mile away	{"distance": "3 miles", "poi_type": "gas station"}	
assistant	You live at 10 ames street.	inform #location 10 ames street	inform #location 10 ames street	{"poi_type": "my "}	
driver	It's okay, thank you very much car!	thank_you	thank_you		
driver	It's okay, let's go there, just pick the best available route, thank you!	thank_you ; request #goal #distance best	thank_you ; request #goal #distance best		
driver	Chinese please.	inform #poi chinese	inform #event chinese		
assistant	Valero is at 200 Alester Ave.	inform #poi Valero #location 200 Alester Ave	inform #event Valero #location 200 Alester Ave	{}	
assistant	We are 3 miles away from the Chinese restaurant Jing Jing: would you like to get there?	inform #distance 3 miles #poi Chinese restaurant Jing Jing ; request #goal	inform #distance 3 miles #event Chinese restaurant Jing Jing ; request #goal	{"distance": "nearest", "poi_type": "restaurant"}	
assistant	There is no Starbucks nearby, but Palo Alto Cafe is 3 miles away. Would you like to go there?	inform #poi no Starbucks; inform #poi Palo Alto Cafe #distance 3 miles ; request #goal	inform #event no Starbucks; inform #event Palo Alto Cafe #distance 3 miles ; request #goal	{"distance": "nearest", "poi_type": "coffee or tea place", "poi": "starbucks"}	
