speaker	utt	act	act	slots	#event	S0
assistant	Have a great day.	goodbye	goodbye	{}	#date	S1
assistant	Okay, setting a reminder on Tuesday for your work meeting in the conference room at 10 am.	ack ; request #goal #date Tuesday #time 10am #event work meeting #location conference room	ack ; request #goal #date Tuesday #time 10am #event work meeting #location conference room	{"time": "10 am", "event": "work meeting", "room": "conference room"}	#time	S2
assistant	You have two yoga activites scheduled. One on Wednesday at 5pm and another on the 17th at 11am.	inform #event yoga activity #count 2 ; inform #date Wednesday #time 5pm ; inform #date 17th #time 11am 	inform #event yoga activity #count 2 ; inform #date Wednesday #time 5pm ; inform #date 17th #time 11am 	{"event": "yoga activity"}	#party	S3
driver	What is the date and time of my next yoga activity?	request #date #time #event next yoga	request #date #time #event next yoga		#location	S4
assistant	When is your lab appointment?	request #event lab appointment	request #event lab appointment	{"event": "lab appointment"}		
assistant	All right, I've set your next dentist appointment for 10am on Wednesday morning. Anything else?	ack ; inform #goal #date Wednesday #time 10am #event dentist appointment ; request #need	ack ; inform #goal #date Wednesday #time 10am #event dentist appointment ; request #need	{"date": "Wednesday", "event": "dentist appointment ", "time": "10am"}		
assistant	Setting a 1 pm reminder for your lab appointment on Wednesday with your sister	request #goal #date Wednesday #time 1pm  #event lab appointment #party sister	request #goal #date Wednesday #time 1pm  #event lab appointment #party sister	{"date": "Wednesday", "party": "sister", "event": "lab appointment", "time": "1 pm"}		
assistant	Okay, i am scheduling a conference with the sales team on the 6th of this month at 11am.	ack ; inform #goal #date 6th of this month #time 11am #event conference #party sales team	ack ; inform #goal #date 6th of this month #time 11am #event conference #party sales team	{"date": "6th of this month", "party": "sales team", "event": "conference", "time": "11am"}		
driver	Thank you	thank_you	thank_you			
assistant	Okay which one, I have two. One is the 8th with Jeff and the other is on the same day with Martha.	request #choice #count 2 ; inform #date 8th #party Jeff ; inform #date 8th #party Martha	request #choice #count 2 ; inform #date 8th #party Jeff ; inform #date 8th #party Martha	{"event": "swimming activity"}		
driver	set a reminder for the conference	request #goal #event conference	request #goal #event conference			
assistant	It is my pleasure, goodbye.	goodbye	goodbye	{}		
assistant	You have two lab appointments scheduled. One is at 1pm with Jon and the other is at 7pm with your aunt.	inform #event lab appointments ; inform #time 1pm #party Jon ; inform  #time 7pm #party aunt	inform #event lab appointments ; inform #time 1pm #party Jon ; inform  #time 7pm #party aunt	{"event": "lab appointment"}		
driver	Thanks.	thank_you	thank_you			
driver	When is my tennis activity?	request #time #event tennis	request #time #event tennis			
driver	remind me i have a doctors appointment on the 12th at 5 pm	request #goal #event doctor appointment #date 12th #time 5pm	request #goal #event doctor appointment #date 12th #time 5pm			
assistant	You have a lab appointment this Wednesday at 7 pm. I don't know when labs wil be available, though.	inform #goal #date Wednesday #time 7am #event lab appointment ; inform #uncertainty	inform #goal #date Wednesday #time 7am #event lab appointment ; inform #uncertainty	{"event": "lab results"}		
assistant	Your football activity is on the 13th at 10 am	inform #date 13th #time 10am #event football	inform #date 13th #time 10am #event football	{"event": "football"}		
assistant	Your conference is in conference room 102 with the vice president to go over the budget.	inform #event conference #location room 102 #party vice president  #agenda budget	inform #event conference #location room 102 #party vice president  #agenda budget	{"event": "conference"}		
driver	Thanks.	thank_you	thank_you			
assistant	My pleasure.	youre_welcome	youre_welcome	{}		
driver	Please set it on the 12th of this month at 3 pm	set #date 12th of this month #time 3pm	set #date 12th of this month #time 3pm			
assistant	It is Tuesday at 1 PM.	inform #date Tuesday #time 1 pm	inform #date Tuesday #time 1 pm	{"event": "doctor appointment"}		
driver	Please set it for 4pm.	request #time 4pm	request #time 4pm			
driver	Thank you	thank_you	thank_you			
driver	Also set reminder for football activity for tomorrow at 10 am.	request reminder #event football activity #date tomorrow #time 10am	request reminder #event football activity #date tomorrow #time 10am			
driver	Schedule a dentist appointment with Jeff for next Wednesday at 1pm.	request #event dentist appointment #party Jeff #date next Wednesday #time 1pm	request #event dentist appointment #party Jeff #date next Wednesday #time 1pm			
driver	set a reminder for tennis	request reminder #event tennis	request reminder #event tennis			
assistant	Your dentist appointment is set for 4pm on the 3rd.	confirm #event dentist appointment #time 4pm #date the 3rd	confirm #event dentist appointment #time 4pm #date the 3rd	{"event": "Dentist appointment"}		
driver	Thanks so much.	thank_you	thank_you			
assistant	Your next lab appointment is on Friday with Tom.	inform #event lab appointment #date Friday #party Tom	inform #event lab appointment #date Friday #party Tom	{"event": "lab appointment"}		
driver	I need to find out the date and time of my Dentist appointment, please.	request #date #time #event Dentist appointment	request #date #time #event Dentist appointment			
driver	The meeting is on December 12th with HR at 11am.	inform #time 11am #event meeting #date December 12th #party HR 	inform #time 11am #event meeting #date December 12th #party HR 			
driver	Tuesday. Thank you	thank_you	thank_you			
driver	check doctor's appointment date	request #date #event doctor appointment	request #date #event doctor appointment			
assistant	Where will you pick up the results?	request #location #agenda get lab results	request #location #agenda get lab results	{"date": "Thursday", "event": "Get lab results", "agenda": "Get lab results", "time": "3:30 pm"}		
assistant	When and where is the meeting?	request #date #location #event meeting	request #date #location #event meeting	{"event": "Meeting"}		
assistant	You have three  swimming activities scheduled. The one at 5pm is with your brother, the other at 7pm is with Alex, and the one at 2pm is also with your brother. Would you like to know the dates as well?	inform #event swimming activities #count 3 ; inform #time 5pm #party brother ; inform #time 7am #party Alex ; inform #time 2pm #party brother ; confirm #date	inform #event swimming activities #count 3 ; inform #time 5pm #party brother ; inform #time 7am #party Alex ; inform #time 2pm #party brother ; confirm #date	{"event": "swimming activity"}		
assistant	Ok, conference with executive on August 7th for 5PM is set	confirm #event confereence #party executive #date August 7th #time 5pm	confirm #event confereence #party executive #date August 7th #time 5pm	{"date": "Monday August 7th", "party": "executive", "event": "conference", "time": "5pm"}		
driver	Thank you.	thank_you	thank_you			
assistant	glad to help	goodbye	goodbye	{}		
driver	Thanks.	thank_you	thank_you			
driver	Set a reminder for my lab appointment at 2pm, this Tuesday with father.	request #goal #event lab appointment #time 2pm #date Tuesday #party father	request #goal #event lab appointment #time 2pm #date Tuesday #party father			
driver	Thanks car!	thank_you	thank_you			
assistant	you're welcome	youre_welcome	youre_welcome	{}		
driver	Schedule a reminder for my yoga class at 7pm on my calendar with Tom.	request #goal reminder #event yoga #time 7am #party Tom	request #goal reminder #event yoga #time 7am #party Tom			
driver	Perfect, thank you	thank_you	thank_you			
assistant	You have three swimming activities scheduled. One on the 4th at 9am, another on the 12th at 1pm, and the last on the 19th at 4pm.	inform #event swimming activities #count 3 ; inform #date 4th #time 9am ; inform  #date 12th #time 1pm ; inform #time 4pm #date 19th 	inform #event swimming activities #count 3 ; inform #date 4th #time 9am ; inform  #date 12th #time 1pm ; inform #time 4pm #date 19th 	{"event": "swimming activity"}		
assistant	OK I will set it for 1 pm on August 22and.	confirm set #date August 22nd	confirm set #date August 22nd	{"date": "August 22nd", "time": "1pm"}		
assistant	Happy to help.	youre_welcome	youre_welcome	{}		
driver	What is the date, location, and agenda of my next conference?	request #date #location #agenda #event next conference	request #date #location #agenda #event next conference			
assistant	Reminder set for lab appointment at 3 pm today with sister.	request #goal #event lab appointment #date today #time 3pm #party sister	request #goal #event lab appointment #date today #time 3pm #party sister	{"date": "today", "party": "sister", "event": "lab appointment", "time": "3 pm "}		
